code,name,link
130225000000,乐亭县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/130225.html
130227000000,迁西县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/130227.html
130229000000,玉田县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/130229.html
130281000000,遵化市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/130281.html
130283000000,迁安市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/130283.html
110101000000,东城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110101.html
110102000000,西城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110102.html
110105000000,朝阳区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110105.html
110106000000,丰台区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110106.html
110107000000,石景山区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110107.html
110108000000,海淀区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110108.html
110109000000,门头沟区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110109.html
110111000000,房山区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110111.html
110112000000,通州区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110112.html
110113000000,顺义区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110113.html
110114000000,昌平区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110114.html
110115000000,大兴区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110115.html
110116000000,怀柔区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110116.html
110117000000,平谷区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110117.html
110118000000,密云区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110118.html
110119000000,延庆区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/110119.html
130502000000,桥东区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130502.html
130503000000,桥西区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130503.html
130521000000,邢台县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130521.html
130522000000,临城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130522.html
130523000000,内丘县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130523.html
130524000000,柏乡县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130524.html
130525000000,隆尧县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130525.html
130526000000,任县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130526.html
130527000000,南和县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130527.html
130528000000,宁晋县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130528.html
130529000000,巨鹿县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130529.html
130530000000,新河县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130530.html
130531000000,广宗县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130531.html
130532000000,平乡县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130532.html
130533000000,威县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130533.html
130534000000,清河县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130534.html
130535000000,临西县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130535.html
130581000000,南宫市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130581.html
130582000000,沙河市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/05/130582.html
130602000000,竞秀区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130602.html
130606000000,莲池区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130606.html
130607000000,满城区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130607.html
130608000000,清苑区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130608.html
130609000000,徐水区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130609.html
130623000000,涞水县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130623.html
130624000000,阜平县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130624.html
130626000000,定兴县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130626.html
130627000000,唐县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130627.html
130628000000,高阳县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130628.html
130629000000,容城县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130629.html
130630000000,涞源县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130630.html
130631000000,望都县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130631.html
130632000000,安新县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130632.html
130633000000,易县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130633.html
130634000000,曲阳县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130634.html
130635000000,蠡县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130635.html
130636000000,顺平县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130636.html
130637000000,博野县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130637.html
130638000000,雄县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130638.html
130681000000,涿州市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130681.html
130683000000,安国市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130683.html
130684000000,高碑店市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/06/130684.html
130402000000,邯山区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130402.html
130403000000,丛台区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130403.html
130404000000,复兴区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130404.html
130406000000,峰峰矿区,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130406.html
130421000000,邯郸县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130421.html
130423000000,临漳县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130423.html
130424000000,成安县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130424.html
130425000000,大名县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130425.html
130426000000,涉县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130426.html
130427000000,磁县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130427.html
130428000000,肥乡县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130428.html
130429000000,永年县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130429.html
130430000000,邱县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130430.html
130431000000,鸡泽县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130431.html
130432000000,广平县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130432.html
130433000000,馆陶县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130433.html
130434000000,魏县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130434.html
130435000000,曲周县,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130435.html
130481000000,武安市,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/04/130481.html
