code,link,name
220400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2204.html,辽源市
220500000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2205.html,通化市
220600000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2206.html,白山市
220700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2207.html,松原市
220800000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2208.html,白城市
222400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/22/2224.html,延边朝鲜族自治州
230100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2301.html,哈尔滨市
230200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2302.html,齐齐哈尔市
230300000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2303.html,鸡西市
230400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2304.html,鹤岗市
230500000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2305.html,双鸭山市
230600000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2306.html,大庆市
230700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2307.html,伊春市
230800000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2308.html,佳木斯市
230900000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2309.html,七台河市
231000000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2310.html,牡丹江市
231100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2311.html,黑河市
231200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2312.html,绥化市
232700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/23/2327.html,大兴安岭地区
310100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/31/3101.html,市辖区
320100000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3201.html,南京市
320200000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3202.html,无锡市
320300000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3203.html,徐州市
320400000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3204.html,常州市
320500000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3205.html,苏州市
320600000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3206.html,南通市
320700000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3207.html,连云港市
320800000000,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/32/3208.html,淮安市
