UrbanRuralCode,code,name
121,431223106002,安坪社区
220,431223106201,王家洲村
220,431223106207,九岩坪村
220,431223106210,蒋家坪村
220,431223106211,迎龙村
220,431223106213,翁鸡坪村
220,431223106214,蛮田垅村
220,431223106215,桐榆林村
122,431223106216,石马湾村
121,431223106217,安坪村
220,431223106218,辛木湾村
220,431223106219,猫儿溪村
220,431223106220,鸡鸣溪村
220,431223106221,深冲湾村
220,431223106222,东冲湾村
220,431223106223,红敏村
220,431223106224,曾家坪渔业村
121,431223108001,大路口社区
220,431223108002,华中社区
122,431223108201,花塘坪村
122,431223108202,锦滨村
121,431223108203,大路口村
220,431223108204,田家垅村
220,431223108205,钟家人村
220,431223108206,龙头脑村
220,431223108207,石碧村
220,431223108208,土溪坎村
220,431223108209,周家湾村
220,431223108210,紫金山村
220,431223108211,岩地村
220,431223108212,装粮埠村
220,431223108213,晓滩村
220,431223108214,杨家湾村
121,431223108215,新店村
220,431223108216,石溪溶村
220,431223108217,木路口村
121,431223109001,修溪社区
220,431223109201,八家塘村
220,431223109202,水冲头村
220,431223109203,荞子湾村
220,431223109204,万家瑙村
220,431223109205,征溪口村
220,431223109206,椒坪溪村
220,431223109207,倒伏村
220,431223109208,黄埠村
220,431223109209,来坪村
220,431223109210,斋家塘村
220,431223109211,葛藤溪村
220,431223109212,龚家湾村
121,431223109213,伍家湾村
220,431223109214,邓家湾村
220,431223109215,思蒙村
121,431223109216,木洲村
220,431223109217,坳门村
220,431222239202,小云溪村村委会
220,431222239211,打岩坡村村委会
220,431222239214,毛洲村村委会
210,431222239216,高坪村村委会
220,431222239219,天湖池村村委会
220,431222239224,水田村村委会
220,431222239225,罗家坪村村委会
220,431222239226,毛垭村村委会
220,431222239227,胜平村
220,431222239228,廉家湾村
220,431222239229,麻栎坡村
210,431222239230,田公坪村
220,431222239231,洞庭溪村
220,431222239232,翻身村
220,431222239233,皇公坪村
220,431222239234,八方村
210,431222245208,军大坪村村委会
220,431222245210,赵家山村村委会
210,431222245213,筒车坪村村委会
220,431222245217,氽水溪村村委会
220,431222245219,南溪坪村村委会
220,431222245221,小贝村村委会
220,431222245222,两岔溪村村委会
220,431222245226,田家组村村委会
220,431222245227,枫香坪村村委会
220,431222245230,符家坪村村委会
220,431222245231,张家村村委会
220,431222245232,教家坪村村委会
210,431222245233,曹家村村委会
220,431222245234,寨溪坪村村委会
220,431222245236,刘家塔村村委会
220,431222245239,上马山村村委会
210,431222245240,竹坪村
220,431222245241,管山村
220,431222245242,借母溪村
220,431223200200,小溪河村
220,431223200201,汀流村
220,431223200205,厂坪村
220,431223200206,桐木冲村
220,431223200207,向家村
220,431223200209,田头坪村
220,431223200210,兵马冲村
210,431223200213,船溪村
220,431223200214,长坡村
121,431223100001,丹山社区
121,431223100002,柳树湾社区
121,431223100008,龙头井社区
121,431223100010,东风社区
121,431223100013,奎星阁社区
121,431223100014,东星社区
122,431223100200,桐湾溪村
220,431223100204,陆家湾村
220,431223100207,张家溜村
220,431223100208,军屯村
220,431223100209,王家坪村
220,431223100210,锦岩村
220,431223100211,沙坪村
220,431223100212,大坪村
220,431223100213,周家人村
220,431223100214,颜家人村
122,431223100215,六弓塘村
122,431223100216,柘坪村
122,431223100217,大伏潭村
122,431223100218,泡潭村
220,431223100219,长冲村
121,431223100220,桑木桥村
220,431223204201,老屋台村
220,431223204202,雷家坡村
220,431223204205,铁山村
220,431223204206,岩落村
220,431223204207,河垅坪村
220,431223204208,岩桥坪村
220,431223204210,水路坪村
220,431223204211,马王塘村
220,431223204213,锄头坪村
210,431223204215,长田湾村
220,431222252203,半溪村村委会
220,431222252204,杨柳垭村村委会
220,431222252207,桐木溪村村委会
220,431222252208,血水潭村村委会
220,431222252209,庙坪村村委会
220,431222252211,太平安村村委会
210,431222252222,清水坪村村委会
220,431222252224,莲花池村村委会
220,431222252233,田坳村村委会
220,431222252234,灰溪村村委会
220,431222252235,芙冲溶村村委会
220,431222252241,芦坪村村委会
220,431222252243,七家村村委会
220,431222252244,茶溪村村委会
220,431222252245,溪地坪村村委会
220,431222252246,扎坪村村委会
220,431222252248,戈洞村村委会
220,431222252249,四方溪村村委会
210,431222252250,乌宿村村委会
220,431222252251,洪树坪村村委会
220,431222252252,四方坪村村委会
220,431222252253,高竹坪村村委会
210,431222252254,落鹤坪村
220,431222252255,三溪村
220,431222252256,黄泥田村
220,431222252257,酉溪口村
220,431222252258,施溪村
220,431222252259,早湖村
210,431222252260,棋坪村
220,431222252261,长坡村
121,431223105001,潭湾社区
220,431223105200,杨溪村
220,431223105202,杉林村
220,431223105204,柏林村
220,431223105207,覃家塘村
220,431223105211,麻田村
122,431223105213,马路坪村
122,431223105214,南庄坪村
220,431223105216,石牌村
121,431223105217,三甲塘村
122,431223105218,桥湾村
220,431223105219,杨龙村
220,431223105220,报木洞村
220,431223105221,双桥村
220,431223105222,园家坪村
220,431223105223,柞溪村
220,431223105224,长坡新村
220,431222253203,荔溪口村村委会
220,431222253212,董家坪村村委会
220,431222253213,三洲村村委会
220,431222253214,红岩村村委会
220,431222253219,青木村村委会
220,431222253222,安龙头村村委会
220,431222253223,舒溪口村村委会
210,431222253224,盘古村村委会
220,431222253225,桂花溪村村委会
220,431222253226,双溪村村委会
220,431222253227,岭头村村委会
220,431222253228,跳岩村村委会
220,431222253229,木洲村村委会
220,431222253231,溪门桥村村委会
210,431222253232,杨溪村村委会
220,431222253233,小澎村
210,431222238200,陈家滩村村委会
220,431222238201,金塔村村委会
220,431222238202,麻伊溪村村委会
220,431222238204,大庄坪村村委会
220,431222238208,砚石溪村
220,431222238209,驮子口村
220,431223105225,西庄坪村
220,431223105226,蛇形村
220,431222248202,万池潭村村委会
220,431222248203,符家山村村委会
220,431222248204,双溪村村委会
220,431222248205,曹家坪村村委会
220,431222248210,茶溪村村委会
210,431222248217,庄屋坪村村委会
220,431222248219,阳山坪村村委会
220,431222248222,天井村村委会
220,431222248223,荆竹溪村村委会
220,431222248224,马鞍潭村
210,431222248225,大合坪村
220,431222248226,廖家坪村
220,431222248227,团坪村
220,431222248228,黄狮垭村
210,431222248229,七甲溪村
121,431223102001,田湾社区
220,431223102200,乌金村
121,431223102202,田湾村
220,431223102205,选场村
220,431223102207,杨梅坳村
220,431223102208,枫香塘村
220,431223102210,葛里村
220,431223102211,鸡岩村
220,431223102212,金坪村
122,431223102213,铺里村
220,431222251202,杨家潭村村委会
220,431222251214,斑竹溪村村委会
