UrbanRuralCode,code,name
121,520524113001,永久居民委员会
220,520524113002,永兴居民委员会
220,520524113003,中心居民委员会
220,520524113204,富阳村委会
220,520524113205,兴发村委会
122,520524113206,和平村委会
220,520524113207,幸福村委会
220,520524113208,龙井村委会
220,520524113209,跃进村委会
220,520524113210,白果村委会
220,520524113211,红光村委会
220,520524113212,箐龙村委会
220,520524113213,玉龙村委会
121,520524001001,星秀社区居委会
121,520524001002,太平社区居委会
121,520524001003,金南社区居委会
121,520524001004,双堰社区居委会
121,520524001005,北门居民委员会
121,520524001006,花红居民委员会
220,520524001007,干河居民委员会
122,520524001008,荷花居民委员会
122,520524001009,大寨居民委员会
121,520524001010,黑石居民委员会
121,520524001011,桂花居民委员会
121,520524001012,双龙居民委员会
122,520524107001,松塔社区居委会
121,520524107002,松林居民委员会
122,520524107003,以那居民委员会
122,520524107004,凉山居民委员会
122,520524107005,化泥居民委员会
122,520524107006,化合居民委员会
122,520524107007,莲花居民委员会
122,520524107008,茶林居民委员会
122,520524107009,五星居民委员会
122,520524107010,沙田居民委员会
220,520524107210,光星村委会
220,520524107211,松树坪村委会
220,520524107212,三合村委会
220,520524107213,林家寨村委会
220,520524107214,箐口村委会
220,520524107215,龙兴村委会
220,520524107216,大寨村委会
220,520524107217,木兴村委会
121,520524114001,白泥居民委员会
220,520524114002,起马居民委员会
220,520524114003,水营居民委员会
220,520524114204,新黔村委会
220,520524114205,联合村委会
220,520524114206,喻家坝村委会
220,520524114207,大坝村委会
220,520524114208,三合村委会
220,520524114209,银碧村委会
220,520524114210,先锋村委会
220,520524114211,前进村委会
220,520524114212,新寨村委会
220,520524114213,大树脚村委会
122,520524114214,那里村委会
220,520524114215,倮木村委会
122,520524104001,新化居委会
121,520524104002,化起居民委员会
121,520524104003,红光居民委员会
220,520524104004,中山居民委员会
122,520524104005,果底居民委员会
220,520524104006,和平居民委员会
122,520524104007,新祥居民委员会
122,520524104008,老乌山居民委员会
122,520524104009,老鹰居民委员会
220,520524104206,大山村委会
220,520524104207,安全村委会
220,520524104209,鱼塘村委会
220,520524104210,胡家寨村委会
220,520524104211,毛栗寨村委会
220,520524104212,罗家寨村委会
220,520524104213,大田边村委会
220,520524104214,九甲村委会
220,520524104215,大坪子村委会
220,520524104216,六甲村委会
220,520524104218,布堤村委会
220,520524104220,龙家坝村委会
220,520524104221,雄鹰村委会
220,520524104222,塘边村委会
220,520524104223,木弄村委会
122,520524111001,羊场居民委员会
121,520524111002,石龙居民委员会
220,520524111003,普作居民委员会
122,520524111202,中寨村委会
220,520524111203,响水村委会
220,520524111204,核桃村委会
220,520524111205,水头寨村委会
220,520524111207,青山村委会
220,520524111209,石丫口村委会
220,520524111210,沙坝村委会
220,520524111211,金鹅村委会
220,520524111212,大院村委会
220,520524111213,岭岗村委会
220,520524111214,小院村委会
220,520524111215,铁厂村委会
220,520524111216,马路村委会
122,520524103001,团结居委会
121,520524103002,齐心居民委员会
122,520524103003,和平居民委员会
121,520524103004,石板居民委员会
122,520524103005,高克居民委员会
122,520524103006,窑上居民委员会
121,520524103007,大寨居民委员会
121,520524103008,大水田居民委员会
121,520524103009,龙潭居民委员会
121,520524103010,新寨居民委员会
122,520524103011,四甲居民委员会
122,520524103012,川硐居民委员会
220,520524103013,凤坪居民委员会
220,520524103014,岩脚居民委员会
220,520524103015,红星居民委员会
220,520524103016,新联居民委员会
122,520524103017,煤厂居民委员会
220,520524103018,补花居民委员会
220,520524103019,光明居民委员会
220,520524103020,三甲居民委员会
220,520524103021,沙坝居民委员会
220,520524103022,二甲居民委员会
220,520524103212,云峰村委会
220,520524103213,国江村委会
220,520524103218,扩兴村委会
220,520524103219,白云村委会
220,520524103224,丫口田村委会
220,520524103225,龙场村委会
121,520524112001,马场居民委员会
220,520524112002,大陌居民委员会
220,520524112003,台子居民委员会
220,520524112004,马家屯居民委员会
220,520524112005,鸡场坝居民委员会
122,520524112006,陈家寨居民委员会
220,520524112007,过弓居民委员会
220,520524112202,文丰村委会
220,520524112207,布底村委会
220,520524112210,小河村委会
220,520524112211,关上村委会
220,520524112212,中心村委会
220,520524112213,营上村委会
220,520524112214,龙井村委会
122,520524110001,新龙居委会
121,520524110002,龙山居民委员会
121,520524110003,珠藏居民委员会
122,520524110004,饶堕居民委员会
122,520524110005,牛硐居民委员会
122,520524110006,鱼塘居民委员会
122,520524110007,幺冲居民委员会
122,520524110008,中部居民委员会
