UrbanRuralCode,code,name
220,621026206200,东风村委会
220,621026206201,庄科村委会
220,621026206202,刘坳村委会
210,621026206203,瓦斜村委会
220,621026206204,望宁村委会
220,621026206205,塬畔村委会
220,621026206206,永吉村委会
220,621026206207,原沟村委会
121,621027104001,平泉镇街道社区居委会
220,621027104200,麻王村委会
220,621027104201,坪边村委会
220,621027104202,洪河村委会
220,621027104203,姚川村委会
220,621027104204,秦铺村委会
220,621027104205,文洼村委会
220,621027104206,马洼村委会
121,621027104207,八山村委会
122,621027104208,上刘村委会
220,621027104209,南徐村委会
220,621027104210,黄岔村委会
220,621027104211,景家村委会
220,621027104212,虎泉村委会
220,621027104213,湫池村委会
220,621027104214,寺府村委会
220,621027104215,赤马村委会
121,621027102001,孟坝镇街道社区居委会
220,621027102200,王湾村委会
220,621027102201,刘城村委会
220,621027102202,赵咀村委会
121,621027102203,孟坝村委会
122,621027102204,大寨村委会
220,621027102205,峁合村委会
220,621027102206,塬口村委会
220,621027102207,塔李村委会
220,621027102208,东庄村委会
220,621027102209,王山村委会
220,621027102210,西壕村委会
220,621027102211,何范村委会
220,621027102212,王地庄村委会
220,621027102213,醴坳村委会
121,621027100001,东街社区居委会
121,621027100002,西街社区居委会
220,621027100200,五里沟村委会
121,621027100201,莲池村委会
121,621027100202,东关村委会
220,621027100203,高庄村委会
220,621027100204,祁川村委会
220,621027100205,塬郑村委会
220,621027100206,丰台村委会
122,621027100207,金龙村委会
122,621027100208,常山村委会
220,621027100209,路坡村委会
220,621027100210,路沟村委会
121,621027100400,金龙工业园区
220,621026207200,崔庄村委会
220,621026207201,崔塬村委会
210,621026207202,金村村委会
220,621026207203,兰庄村委会
220,621026207204,老庄子村委会
220,621026207205,南堡子村委会
220,621026207500,梁掌林场
220,621027105200,陈坪村委会
220,621027105201,甄沟村委会
220,621027105202,张庄村委会
121,621027105203,开边村委会
220,621027105204,兰沟村委会
220,621027105205,解放村委会
220,621027105206,兰岔村委会
220,621027105207,羊千原村委会
220,621027105208,白马寺村委会
220,621027207200,黎明村委会
220,621027207201,慕塬村委会
220,621027207202,文夏村委会
220,621027207203,孙寨村委会
220,621027207204,常俭村委会
210,621027207205,庙渠村委会
220,621027207206,店王村委会
220,621027207207,六十坪村委会
220,621027207208,四合村委会
121,621027103200,高湾村委会
220,621027103201,周家庄村委会
220,621027103202,肖园子村委会
220,621027103203,米家川村委会
220,621027103204,寺庄湾村委会
220,621027103205,榆杨湾村委会
220,621027103206,安岔村委会
220,621027103207,石咀村委会
220,621027103208,董渠村委会
220,621027103209,大塬村委会
210,621027206200,马渠村委会
220,621027206201,唐塬村委会
220,621027206202,四坪村委会
220,621027206203,红光村委会
220,621027206204,赵渠村委会
220,621027206205,甘川村委会
220,621027206206,三合村委会
220,621027206207,汪庄村委会
220,621027206208,景塬村委会
220,621027206209,梁寨村委会
220,621027206210,花岔村委会
220,621027202200,雄武村委会
210,621027202201,梧桐村委会
220,621027202202,北庄村委会
220,621027202203,路岭村委会
220,621027202204,净口村委会
220,621027202205,青寨村委会
220,621027202206,翟池村委会
220,621027202207,杨城村委会
220,621027202208,南李村委会
220,621027202209,西岭村委会
220,621027202210,姜曹村委会
220,621027108200,杜寨村委会
220,621027108201,闫寨村委会
220,621027108202,高庄村委会
121,621027108203,新城村委会
220,621027108204,郭沟村委会
220,621027108205,东庄村委会
220,621027108206,耿沟村委会
220,621027108207,南坡村委会
220,621027108208,孙奄村委会
220,621027108209,孟寨村委会
220,621027108210,曹城村委会
220,621027108211,小岘村委会
220,621027108212,朱塬村委会
220,621027108213,惠沟村委会
220,621027107200,耿塬村委会
220,621027107201,什字村委会
220,621027107202,蒙塬村委会
220,621027107203,席沟圈村委会
220,621027107204,路壕村委会
220,621027107205,十里墩村委会
220,621027107206,桃园村委会
220,621027107207,毛头村委会
220,621027107208,祁庙村委会
220,621027107209,新堡村委会
220,621027107210,良韩村委会
121,621027107211,包庄村委会
220,621027107212,祁焦村委会
220,621027107213,石羊村委会
220,621026208200,北庄子村委会
220,621026208201,川口子村委会
210,621026208202,九岘村委会
220,621026208203,鲁甲村委会
220,621026208204,马洼村委会
220,621026208205,左川村委会
210,621026208500,九岘林场
220,621026208501,桂花园林场
121,621027101001,屯字镇街道社区居委会
220,621027101200,开城村委会
220,621027101201,田岭村委会
122,621027101202,马堡村委会
121,621027101203,屯字村委会
220,621027101204,白马村委会
220,621027101205,闫孟村委会
220,621027101206,阳宁村委会
220,621027101207,寨地村委会
220,621027101208,曹路村委会
220,621027101209,官亭村委会
220,621027101210,川口村委会
220,621027101211,下郑村委会
220,621027101212,下孙村委会
220,621027101213,四殿村委会
220,621027101214,陈畅村委会
220,621027101215,太阳村委会
220,621027101216,闫沟村委会
220,621027101217,建华村委会
220,621027101218,包城村委会
220,621027101219,双合村委会
210,621027203200,唐塬村委会
220,621027203201,吴塬村委会
220,621027203202,王岘子村委会
220,621027203203,永丰村委会
220,621027203204,刘大岔村委会
220,621027203205,新庄村委会
220,621027203206,牛心村委会
220,621027203207,崾岘村委会
220,621027203208,段掌村委会
220,621027203209,岳庄村委会
220,621027203210,王寨村委会
220,621027203211,高崖畔村委会
220,621027204200,张大湾村委会
220,621027204201,方庄村委会
220,621027204202,关山村委会
220,621027204203,王湾村委会
220,621027204204,金岔村委会
220,621027204205,贾山村委会
220,621027204206,高中山村委会
220,621027204207,十八岘村委会
220,621027204208,庄岔湾村委会
210,621027204209,蒲河村委会
220,621027205200,北岔村委会
220,621027205201,李园子村委会
210,621027205202,殷家城村委会
220,621027205203,桑树洼村委会
220,621027205204,敬岔村委会
220,621027205205,张老庄村委会
220,621027205206,寺山村委会
220,621027205207,白家川村委会
220,621027106200,俭边村委会
220,621027106201,兰庙村委会
220,621027106202,席兰村委会
220,621027106203,枣林村委会
220,621027106204,柴庄村委会
220,621027106205,慕坪村委会
121,621027106206,老庄村委会
220,621027106207,大塬村委会
220,621027106208,丁岘村委会
220,621027106209,南庄村委会
220,621027106210,何湾村委会
220,621027106211,上城村委会
220,621027106212,柳咀村委会
210,621026205200,北门村委会
220,621026205201,北庄村委会
220,621026205202,高仓村委会
220,621026205203,屯庄村委会
220,621026205204,刘寨村委会
220,621026205205,马户村委会
220,621026205206,马泉村委会
220,621026205207,吴冢村委会
220,621026205208,焦台村委会
220,621026205209,寨河村委会
210,621026205210,张堡村委会
220,621027201200,和平村委会
220,621027201201,桃园村委会
210,621027201202,河李村委会
220,621027201203,贺丰村委会
220,621027201204,沟卢村委会
220,621027201205,川郑村委会
220,621027201206,东王村委会
220,621027201207,原卢村委会
220,621027201208,成赵村委会
220,621027201209,上庄村委会
220,621027209200,王沟圈村委会
210,621027209201,郭原村委会
220,621027209202,唐洼村委会
210,621027209203,毛庄村委会
220,621027209204,王咀村委会
220,621027209205,景原村委会
220,621027209206,西杨村委会
220,621027209207,寺沟村委会
220,621027210200,田站村委会
220,621027210201,上杜村委会
220,621027210202,原峰村委会
220,621027210203,殿王村委会
220,621027210204,武亭村委会
210,621027210205,中原村委会
220,621027210206,高胜村委会
210,621102204201,录丰村民委员会
220,621102204202,铧尖村民委员会
220,621102204203,拽碾村民委员会
220,621102204204,前进村民委员会
220,621102204205,田家岔村民委员会
220,621102204206,中山村民委员会
220,621102204207,复兴村民委员会
220,621102109201,联庄村民委员会
121,621102109202,唐家堡村民委员会
220,621102109203,小山村民委员会
220,621102109204,高泉村民委员会
220,621102109205,寒树村民委员会
220,621102109206,寒水村民委员会
220,621102109207,中化村民委员会
220,621102109208,金花村民委员会
220,621102109209,好地掌村民委员会
220,621102109210,庙川村民委员会
121,621102105201,南川村民委员会
220,621102105202,紫云村民委员会
220,621102105203,将台村民委员会
220,621102105204,东风村民委员会
220,621102105205,小岔口村民委员会
220,621102105206,花岔村民委员会
220,621102105207,太平村民委员会
220,621102105208,大岔村民委员会
220,621102105209,三湾村民委员会
220,621102105210,山林村民委员会
220,621102105211,张沟村民委员会
220,621102105212,罗川村民委员会
220,621102105213,大湾村民委员会
220,621102105214,��沟村民委员会
220,621102105215,御风村民委员会
111,621102001001,新市区社区居委会
111,621102001002,汽车站社区居委会
111,621102001003,北街社区居委会
111,621102001004,火车站社区居委会
111,621102001005,东河社区居委会
111,621102001006,广厦社区居委会
111,621102001007,江夏社区居委会
111,621102001008,大城社区居委会
111,621102001009,体育公园社区居委会
111,621102001010,中华路社区居委会
111,621102001011,铁路新村社区居委会
220,621027208200,孟庄村委会
220,621027208201,冯俭村委会
220,621027208202,张岘村委会
210,621027208203,武沟村委会
220,621027208204,渠口村委会
220,621027208205,惠大庄村委会
220,621027208206,椿岔村委会
220,621027208207,巨沟村委会
210,621102209201,青岚村民委员会
220,621102209202,付家村民委员会
220,621102209203,郑沟村民委员会
220,621102209204,青湾村民委员会
220,621102209205,下湾村民委员会
220,621102209206,庙坪村民委员会
220,621102209207,王家湾村民委员会
220,621102209208,红庄村民委员会
220,621102209209,贾川村民委员会
220,621102209210,任川村民委员会
220,621102209211,青义村民委员会
220,621102209212,榆林村民委员会
220,621102209213,打鹿村民委员会
220,621102209214,上坪村民委员会
220,621102209215,大坪村民委员会
220,621102209216,郭川村民委员会
220,621102209217,车门川村民委员会
220,621102209218,原坪村民委员会
220,621102209219,赵家岔村民委员会
220,621102209220,花岔村民委员会
220,621102111201,红庄村民委员会
220,621102111202,杨家湾村民委员会
220,621102111203,长丰村民委员会
220,621102111204,金星村民委员会
121,621102111205,兰星村民委员会
220,621102111206,高阳村民委员会
220,621102111207,秦家岔村民委员会
220,621102111208,罗家岔村民委员会
220,621102111209,大岔村民委员会
220,621102111210,黄家坪村民委员会
121,621102102201,内官村民委员会
122,621102102202,锦屏村民委员会
220,621102102203,永丰村民委员会
220,621102102204,永安村民委员会
220,621102102205,锦花村民委员会
220,621102102206,边家村民委员会
220,621102102207,林川村民委员会
220,621102102208,文丰村民委员会
220,621102102209,清溪村民委员会
220,621102102210,乌龙村民委员会
220,621102102211,安连村民委员会
220,621102102212,进化村民委员会
220,621102102213,先锋村民委员会
220,621102102214,万崖村民委员会
220,621102102215,泉坪村民委员会
220,621102102216,右丰村民委员会
220,621102102217,庆丰村民委员会
220,621102102218,东岳村民委员会
220,621102102219,迎丰村民委员会
220,621102102220,文山村民委员会
220,621102102221,中河村民委员会
220,621102102222,崖湾村民委员会
220,621102102223,文昌村民委员会
220,621102102224,咀头村民委员会
220,621102102225,大庄村民委员会
220,621102102226,陡寨村民委员会
220,621102102227,勤宝村民委员会
220,621102102228,米粮村民委员会
220,621102102229,董家湾村民委员会
220,621102102230,瓦窑湾村民委员会
220,621102102231,南阳村民委员会
220,621102102232,关厅村民委员会
220,621102102233,中南村民委员会
220,621102102234,鲍家村民委员会
220,621102102235,宝石村民委员会
121,621102110201,香泉村民委员会
220,621102110202,陈家�艽迕裎�员会
220,621102110203,青岗村民委员会
220,621102110204,中庄村民委员会
220,621102110205,双庙村民委员会
220,621102110206,泉湾村民委员会
220,621102110207,花屏村民委员会
220,621102110208,马莲村民委员会
220,621102110209,云山村民委员会
