UrbanRuralCode,code,name
220,510185221200,长山村村民委员会
220,510185221201,洞沟村村民委员会
210,510185221202,复兴村村民委员会
220,510185221203,互利村村民委员会
220,510185221204,力量村村民委员会
210,510185221205,万年村村民委员会
111,510302005001,丹桂社区居委会
111,510302005002,园丁苑社区居委会
111,510302005003,春华社区居委会
111,510302005004,梨园社区居委会
111,510302005005,方冲社区居委会
111,510302005006,桂花社区居委会
111,510302005007,银桦社区居委会
111,510302005008,交通苑社区居委会
111,510302005009,楠桂苑社区居委会
111,510302005010,明珠社区居委会
111,510302005011,绿盛社区居委会
121,510302103001,灵官殿社区居委会
220,510302103201,干塘村委会
220,510302103202,拱桥村委会
122,510302103203,团结村委会
220,510302103204,大山村委会
220,510302103205,白果村委会
220,510302103206,程佳村委会
220,510302103207,新房村委会
220,510302103208,桂花村委会
220,510302103209,中咀村委会
220,510302103210,雨潭村委会
220,510302103211,叶合村委会
220,510302103212,尖山村委会
111,510302004001,光大街社区居委会
111,510302004002,源渊井社区居委会
111,510302004003,大来井社区居委会
111,510302004004,桌子山社区居委会
111,510302004005,核桃湾社区居委会
111,510302004006,火井沱社区居委会
111,510302004007,路边井社区居委会
111,510302004008,大湾井社区居委会
220,510185220200,大池村村民委员会
220,510185220201,高产村村民委员会
220,510185220202,工农村村民委员会
210,510185220203,光华村村民委员会
220,510185220204,马家祠村村民委员会
220,510185220205,民权村村民委员会
220,510185220206,柿子湾村村民委员会
220,510185220207,五显庙村村民委员会
220,510185225200,安全村村民委员会
220,510185225201,大坝村村民委员会
220,510185225202,连山村村民委员会
220,510185225203,太山村村民委员会
220,510185225204,永明村村民委员会
210,510185225205,大柏村村民委员会
220,510185228200,慈竹村村民委员会
220,510185228201,大屋村村民委员会
220,510185228202,红台村村民委员会
210,510185228203,互竞村村民委员会
220,510185228204,芦稿村村民委员会
220,510185228205,上坪村村民委员会
210,510185228206,石泉村村民委员会
220,510185228207,双井村村民委员会
220,510185228208,团岭村村民委员会
220,510185223200,碑湾村村民委员会
210,510185223201,发青村村民委员会
220,510185223202,高嘴村村民委员会
210,510185223203,金家村村民委员会
220,510185223204,金竹村村民委员会
220,510185223205,九龙滩村村民委员会
220,510185223206,天星井村村民委员会
210,510185223207,团山村村民委员会
220,510185223208,响坛村村民委员会
220,510185223209,宰龙坳村村民委员会
220,510185224200,均平村民委员会
210,510185224201,兰坝村村民委员会
210,510185224202,民义村村民委员会
210,510185224203,清平村村民委员会
220,510185224204,三合村村民委员会
220,510185224205,天才村村民委员会
220,510185224206,兴隆村村民委员会
220,510185224207,悦乐村村民委员会
121,510302101001,双石铺社区居委会
220,510302101201,全胜村村委会
220,510302101202,黄家村村委会
220,510302101203,永胜村村委会
220,510302101204,宏伟村村委会
220,510302101205,百胜村村委会
220,510302101206,朱山村村委会
220,510302101207,银河村村委会
220,510302101208,建设村村委会
220,510302101209,竹元村村委会
220,510302101210,群光村村委会
121,510302101211,仲权村村委会
220,510185222200,白房村村民委员会
220,510185222201,大鹅村村民委员会
220,510185222202,栗子村村民委员会
210,510185222203,南堰村村民委员会
220,510185222204,青龙村村民委员会
220,510185222205,烧房村村民委员会
220,510185222206,四溪村村民委员会
220,510185222207,两河村村民委员会
210,510185227200,红旗村村民委员会
220,510185227201,护民村村民委员会
210,510185227202,简乐村村民委员会
220,510185227203,乐安村村民委员会
220,510185227204,龙潭村村民委员会
220,510185227205,青锋村村民委员会
210,510185227206,三包村村民委员会
220,510185227207,施家村村民委员会
220,510185227208,石佛村村民委员会
220,510185227209,时新村村民委员会
220,510185227210,天泉村村民委员会
220,510185227211,伍家村村民委员会
220,510185227212,新乐村村民委员会
111,510302002001,钟云山社区居委会
111,510302002002,新华路社区居委会
111,510302002003,豆芽湾社区居委会
111,510302002004,檀木林社区居委会
111,510302002005,盐店街社区居委会
111,510302002006,交通路社区居委会
111,510302002007,火车站社区居委会
111,510302002008,三八路社区居委会
111,510302002009,红星社区居委会
111,510302002010,鸿鹤坝社区居委会
111,510302002011,伍家坝社区居委会
111,510302002012,解放桥社区居委会
111,510302002013,东兴寺社区居委会
111,510302002014,毛家坝社区居委会
220,510185219200,灯坝村村民委员会
220,510185219201,干家沟村村民委员会
220,510185219202,老龙村村民委员会
210,510185219203,三里埂村村民委员会
220,510185219204,土地坳村村民委员会
220,510185219205,燕泥村村民委员会
220,510185219206,朱家村村民委员会
111,510302003001,龙凤山社区居委会
111,510302003002,后山坡社区居委会
111,510302003003,骑坳井社区居委会
111,510302003004,小桥井社区居委会
111,510302003005,桐梓坳社区居委会
111,510302003006,富台山社区居委会
111,510302003007,大缺口社区居委会
111,510302003008,大岩洞社区居委会
121,510302102001,舒家社区居委会
220,510302102201,柏林村村委会
122,510302102202,白阳村村委会
220,510302102203,吉林村村委会
220,510302102204,磨刀岭村村委会
220,510302102205,金华村村委会
220,510302102206,狮湾村村委会
122,510302102207,上阳村村委会
122,510302102208,金鱼村村委会
220,510302102209,白果村村委会
111,510302201001,大岩社区居委会
111,510302201002,景湖社区居委会
111,510302201003,西景苑社区居委会
111,510302201004,悦景社区
123,510302201202,大岩村村委会
123,510302201203,白果村委会
220,510185226200,安庆村村民委员会
220,510185226201,白羊嘴村村民委员会
220,510185226202,曹家村村民委员会
220,510185226203,古桥村村民委员会
220,510185226204,民和村村民委员会
220,510185226205,清水村村民委员会
220,510185226206,太安村村民委员会
220,510185226207,新安村村民委员会
220,510185226208,义和村村民委员会
210,510185226209,永福村村民委员会
220,510185226210,云林村村民委员会
220,510185226211,枣子村村民委员会
220,510185226212,张林村村民委员会
210,510185226213,竹山村村民委员会
111,510302006001,白果社区居委会
111,510302006002,谢家坝社区居委会
111,510302006003,邓家坝社区居委会
111,510302006004,宏发社区居委会
111,510302006005,蓝鹰社区居委会
111,510302006006,英祥社区居委会
111,510302006007,南苑社区居委会
111,510302006008,新汇社区居委会
111,510302006009,龙城社区
111,510302006010,金海社区
111,510302001001,香炉寺社区居委会
111,510302001002,高山井社区居委会
111,510302001003,天花井社区居委会
111,510302001004,道生灏社区居委会
111,510302001005,珍珠寺社区居委会
111,510302001006,黄桷坪社区居委会
111,510302001007,磨子井社区居委会
111,510302001008,新民街社区居委会
111,510302001009,三台寺社区居委会
111,510302202001,高峰寺社区居委会
111,510302202002,西湖社区
111,510302202003,华景社区
112,510302202201,高峰村村委会
111,510302202202,龙神村村委会
220,510302202203,双院村村委会
112,510302202204,河山村村委会
220,510302202205,罗冲村村委会
112,510302202206,考举村村委会
220,510302202207,肖家村村委会
111,510303100008,李家桥社区居委会
111,510303100009,大码头社区居委会
111,510303100010,韭菜嘴社区居委会
112,510303100201,高坎村委会
112,510303100202,石辊村委会
112,510303100203,竹林社区村民委员会
220,510303100204,柏树村委会
220,510303100205,檬凹村委会
220,510303100206,塘边村委会
220,510303100207,骑龙村委会
111,510303100208,砖房村委会
112,510303100209,六房村委会
112,510303100210,沙塘村委会
121,510303101002,斑竹林社区居委会
111,510303001021,糍粑坳社区居委会
111,510303001022,新马路社区居委会
111,510303001023,向阳街社区居委会
111,510303001024,杨家坝社区居委会
111,510303001025,马槽塘社区居委会
111,510303001026,伍家坡社区居委会
111,510303001027,雷公滩社区居委会
111,510303001028,下桥社区居委会
111,510303001029,东风社区居委会
111,510303001030,青杠林社区居委会
111,510303001031,洞桥社区居委会
111,510303001032,金鱼河社区居民委员会
220,510303101201,大田村委会
220,510303101202,固胜村委会
220,510303101203,中心村委会
220,510303101204,烟河村委会
220,510303101205,石堰村委会
122,510303101206,么塘村委会
220,510303101207,新弯村委会
220,510303101208,麻柳村委会
220,510303101209,柳树村委会
220,510303101210,重滩村委会
220,510303101211,回龙村委会
111,510304001011,马草山社区居委会
111,510304001012,洞口井社区居委会
111,510304001014,扇子坝社区居委会
111,510304001016,大安街社区居委会
111,510304001018,仁和社区居委会
111,510304003007,马冲口社区居委会
111,510304003008,沙鱼坝社区居委会
111,510304003009,高硐社区居委会
111,510304003010,碾子山社区居委会
111,510304003011,文峰山社区居委会
210,510302203001,观音阁社区居委会
210,510302203201,红岩村村委会
220,510302203202,东升村村委会
220,510302203203,东风村村委会
220,510302203204,草堂村村委会
220,510302203205,新国村村委会
111,510303102009,胜利路社区居委会
111,510303102010,罗石塔社区居委会
111,510303102011,沿河路社区居委会
111,510303102013,长土街社区居委会
111,510303102014,黄泥坳社区居民委员会
112,510303102201,元坝社区村民委员会
111,510303102202,黄桷村委会
112,510303102203,大坡村委会
220,510303102204,大坝村委会
220,510303102205,新华村委会
220,510303102206,沙罗村委会
112,510303102207,石牛村委会
112,510303102208,洞桥村委会
112,510303102209,三台村委会
112,510303102210,石沟村委会
111,510303002010,席草田社区居委会
111,510303002011,老街子社区居委会
111,510303002012,泥塘湾社区居委会
111,510303002013,盐工新村社区居委会
121,510303105001,桥头铺社区居委会
122,510303105201,永顺村委会
220,510303105202,石房村委会
220,510303105203,白房村委会
220,510303105204,跳礅村委会
220,510303105205,团结村委会
220,510303105206,增产村委会
220,510303105207,玉麒村委会
121,510303104001,龙潭场社区居委会
220,510303104201,万坪村委会
220,510303104202,祝堰村委会
122,510303104203,幸福村委会
220,510303104204,中坝村委会
220,510303104205,狮子村委会
122,510303104206,苗山村委会
220,510303104207,里坪村委会
220,510303104208,道澄村委会
220,510303104209,白鹤村委会
122,510303104210,旭江村委会
220,510303104211,箭竹村委会
220,510303104212,将军村委会
220,510303104213,回龙村委会
220,510303104214,桐麻村委会
220,510303104215,菜子村委会
220,510303104216,罗家村委会
220,510303104217,彭家村委会
220,510303104218,团山村委会
121,510303107001,莲花场社区居委会
122,510303107201,葛麻村委会
220,510303107202,黄桷村委会
220,510303107203,余家村委会
220,510303107204,杨家祠村委会
220,510303107205,象鼻村委会
220,510303107206,雷碥村委会
220,510303107207,白仓村委会
220,510303107208,沙溪村委会
220,510303107209,陆和村委会
220,510303107210,花马石村委会
220,510303107211,川主村委会
210,510303201001,牛尾河社区居委会
210,510303201201,骑龙村委会
220,510303201202,新桥村委会
220,510303201203,胜利村委会
220,510303201204,桂花村委会
220,510303201205,新民村委会
220,510303201206,燕嘴村委会
220,510303201207,石柱村委会
220,510303201208,中嘴村委会
111,510304004006,凉高山社区居委会
111,510304004007,斑竹林社区居委会
111,510304004008,上田坝社区居委会
210,510302204001,俞冲社区居委会
220,510302204201,星星村村委会
220,510302204202,扬柳村村委会
220,510302204203,丁香村村委会
210,510302204204,星火村村委会
121,510303106001,五宝社区居委会
122,510303106201,五宝村委会
220,510303106202,高林村委会
220,510303106203,莲花村委会
220,510303106204,大同村委会
220,510303106205,凤翔村委会
220,510303106206,楼房村委会
220,510303106207,香枫村委会
220,510303106208,九曲村委会
220,510303106209,照石村委会
220,510303106210,田坝村委会
220,510303106211,保证村委会
122,510303106212,云峰村委会
220,510303106213,平房村委会
220,510303106214,吴家村委会
220,510303106215,恒丰村委会
220,510303106216,中华村委会
220,510303106217,七凤村委会
220,510303106218,观塘村委会
220,510303106219,蔡家村委会
220,510303106220,王家社区村民委员会
220,510303106221,堂煌村委会
210,510303200001,凤凰社区居委会
210,510303200201,凤皇村委会
220,510303200202,靛坑村委会
220,510303200203,金龙村委会
220,510303200204,九岭村委会
220,510303200205,小冲村委会
220,510303200206,金竹村委会
220,510303200207,高峰村委会
121,510303109001,白庙子社区居委会
220,510303109201,旭东村委会
220,510303109202,建设村委会
220,510303109203,乐岭村委会
220,510303109204,石岭村委会
220,510303109205,斑竹村委会
122,510303109206,白庙村委会
220,510303109207,刘家村委会
220,510303109208,银匠村委会
121,510304100006,松林社区居委会
121,510304100008,大山铺社区居委会
121,510304100009,桐子山社区居委会
121,510304100201,大山村委会
220,510304100202,新燕村委会
220,510304100204,江姐村委会
220,510304100206,盐井村委会
220,510304100207,世平村委会
