UrbanRuralCode,code,name
121,410422102201,一村村委会
122,410422102202,二村村委会
122,410422102203,三村村委会
122,410422102204,陈岗村委会
122,410422102205,牛庵村委会
220,410422102206,杨四庄村委会
220,410422102209,小杨庄村委会
220,410422102210,大辛庄村委会
220,410422102211,寨王村委会
220,410422102215,暴沟村委会
220,410422102216,蔡屯村委会
220,410422102217,余康村委会
220,410422102218,冯庵村委会
122,410422102219,前古城村委会
122,410422102220,南寨河村委会
220,410422102221,夏元村委会
220,410422102222,花阳村委会
220,410422102223,李吴庄村委会
122,410422102224,魏岗铺村委会
220,410422102225,吕楼村委会
220,410422102226,柳庄村委会
220,410422102227,李湾村委会
220,410422102228,白庙村委会
220,410422102229,文寨村委会
220,410422102230,东官庄村委会
220,410422102231,庙岗村委会
220,410422102232,辛庄村委会
220,410422102233,花山吴村委会
220,410422102234,罗冲村委会
220,410422102235,杨令庄村委会
121,410422002004,南大街居委会
122,410422002005,南关居委会
121,410422002201,程庄村委会
122,410422002202,南大桥村委会
122,410422002203,潘寨村委会
122,410422002204,三里湾村委会
122,410422002205,聂楼村委会
220,410422002208,大王庄村委会
220,410422002209,沟王村委会
220,410422002210,陈庄村委会
122,410422002232,堰口村委会
122,410422002235,新湾李村委会
122,410422002236,新李寨村委会
220,410422002237,圪��店村委会
121,410422101201,任店一村村委会
122,410422101202,任店二村村委会
122,410422101203,任店三村村委会
122,410422101204,任店四村村委会
122,410422101205,寺庄东村村委会
122,410422101206,寺庄西村村委会
122,410422101207,双河营村委会
122,410422101208,后营村委会
122,410422101209,前营村委会
220,410422101210,尚武营村委会
220,410422101211,秋河村委会
220,410422101212,刘岭村委会
220,410422101213,新营村委会
220,410422101214,郭营村委会
220,410422101215,高营村委会
220,410422101216,宋营村委会
220,410422101217,灰河营村委会
220,410422101219,柳疙瘩营村委会
220,410422101220,燕庄村委会
220,410422101221,平李庄村委会
220,410422101222,屈庄村委会
220,410422101223,瓦店村委会
220,410422101224,汪营村委会
220,410422101225,中旗营村委会
220,410422101226,竺李庄村委会
220,410422101227,史营村委会
220,410422101228,月庄村委会
220,410422101229,岳庵村委会
220,410422101230,古路湾村委会
220,410422101231,毛庄村委会
220,410422101232,胡庄村委会
220,410422101233,辉岭营东村村委会
220,410422101234,辉岭营西村村委会
220,410422101235,刘口村委会
220,410422101236,大营村委会
220,410422101237,克庄村委会
121,410422203201,马庄村委会
122,410422203202,李庄村委会
122,410422203203,水郭村委会
122,410422203204,雷庄村委会
122,410422203205,大陈庄村委会
122,410422203206,习娄村委会
122,410422203207,张庄村委会
122,410422203208,小河赵村委会
121,410421106201,张八桥村委会
220,410421106202,姚洼村委会
122,410421106203,闫洼村委会
220,410421106204,苗李村委会
220,410421106205,孔庄村委会
220,410421106206,没梁庙村委会
220,410421106207,外良村委会
220,410421106208,袁店村委会
220,410421106209,山张村委会
220,410421106210,白塔营村委会
220,410421106211,草庙陈村委会
220,410421106212,东火山村委会
220,410421106213,祁庄村委会
220,410421106214,西火山村委会
220,410421106215,曹场村委会
220,410421106216,姚店铺村委会
220,410421106217,赵圪��村委会
220,410421106218,斋公庄村委会
220,410421106219,王堂村委会
220,410421106220,西马庄村委会
220,410421106221,栗庄村委会
220,410421106222,马场村委会
220,410421106223,河湾村委会
220,410421106224,李庄村委会
112,410421106225,贾岭村委会
112,410421106226,下河村委会
220,410421106227,大刘村委会
220,410421106228,咀陈村委会
121,410421107001,范庄社区居委会
121,410421107002,永安社区居委会
121,410421107003,和平社区居委会
122,410421107004,姜湾社区居委会
